;AAPL UW Equity;AXP UN Equity;BA UN Equity;CAT UN Equity;CSCO UW Equity;CVX UN Equity;DIS UN Equity;DWDP UN Equity;GE UN Equity;GS UN Equity;HD UN Equity;IBM UN Equity;INTC UW Equity;JNJ UN Equity;JPM UN Equity;KO UN Equity;MCD UN Equity;MMM UN Equity;MRK UN Equity;MSFT UW Equity;NKE UN Equity;PFE UN Equity;PG UN Equity;TRV UN Equity;UNH UN Equity;UTX UN Equity;V UN Equity;VZ UN Equity;WMT UN Equity;XOM UN Equity;INDU Index
05/07/2010;35.2857;39.42;61.94;59.18;21.13;67.31;31.38;22.97;13.88;131.08;27.76;121.86;19.2;59.08;35.83;25.025;66.14;77.67;34.22;23.27;16.965;14.14;59.38;48.54;28.3;64.29;18.295;26.81;48;56.57;9686.48
06/07/2010;35.5186;39.21;61.36;59.81;21.34;67.56;31.72;23.06;13.97;132.26;27.34;123.46;19.5;59.08;36.33;25.215;66.11;78.14;34.65;23.82;16.8025;14.29;59.34;48.58;28.89;64.59;18.0675;26.61;48.57;57.46;9743.62
07/07/2010;36.9671;41.15;63.3;62.18;22.45;69.45;33.11;24.29;14.62;135.83;28.01;127;20.17;60.61;38.15;25.735;67.34;80.52;35.43;24.31;17.14;14.62;60.82;49.95;29.2;66.55;18.705;26.52;48.94;58.43;10018.28
08/07/2010;36.87;42.12;64.73;63.17;22.55;70.41;33.34;24.99;14.83;135.46;28.15;127.97;20.1;61.38;38.16;26.21;69.02;81.22;35.86;24.42;17.57;14.82;61.95;50.09;29.68;67.23;18.77;26.78;49.18;58.81;10138.99
09/07/2010;37.1029;42.58;64.66;64.72;22.7;71.84;33.75;25.95;14.95;138.06;28.26;127.96;20.24;60.54;38.85;26.2;69.22;82.16;36.3;24.27;17.5375;14.77;61.75;51.15;29.97;67.51;19.345;26.65;49.43;58.78;10198.03
12/07/2010;36.7729;42.83;64.34;64.28;22.86;71.85;33.77;25.75;14.93;137.25;28.31;128.67;20.57;60.21;39.19;26.225;69.94;82.26;36.09;24.83;17.4525;14.93;62.09;51.12;30.04;66.68;19.1275;26.49;50.12;58.94;10216.27
13/07/2010;36.0157;44.17;64.43;66.79;23.09;73.23;34.45;26.71;15.21;140.25;28.64;130.48;21.01;60.5;40.48;26.36;70.84;83.55;36.45;25.13;17.6175;14.79;62.39;51.2;30.14;67.76;19.1475;26.89;50.54;59.42;10363.02
14/07/2010;36.1243;43.7;64.75;66.7;23.74;73.05;34.24;27;15.2;139.06;28.28;130.72;21.36;60.62;40.35;26.41;70.9;83.05;36.2;25.43;17.635;14.84;62.66;51.39;30.32;68.01;19.07;26.84;50.35;59.26;10366.72
15/07/2010;35.9214;43.43;64.37;66.51;23.92;73.04;34.05;26.63;15.25;145.22;28.34;130.72;21.51;60.26;40.46;26.425;71.33;83.06;36.49;25.51;17.6625;14.87;62.73;50.3;30.88;68.15;18.82;26.8;50.41;59.27;10359.31
16/07/2010;35.7;41.38;61.87;63.94;22.74;71.5;33.03;25.17;14.55;146.21;27.12;128.03;21;59.44;38.97;26.19;69.94;80.95;35.9;24.92;17.23;14.56;62;49.62;30.34;66.03;17.8625;26.69;49.67;57.96;10097.9
19/07/2010;35.0829;41.58;63.18;64.8;22.73;72;33.31;25.13;14.62;145.68;27.07;129.79;21.59;59.57;39.04;26.135;69.91;81.22;35.8;25.23;17.1525;14.73;61.86;49.71;30.82;66.39;17.805;26.72;49.52;58.43;10154.43
20/07/2010;36.01;42.06;63.88;66.43;23.05;73.1;33.4;25.58;14.94;148.91;27.93;126.55;21.65;58.58;39.63;26.62;70.87;82.19;35.66;25.47;17.46;14.55;62.07;50.35;30.83;67.54;18.4;26.67;50.88;58.95;10229.96
21/07/2010;36.32;41.15;63.18;66.87;22.56;72.17;32.81;25.52;14.84;146.99;27.47;125.27;21.26;57.12;38.42;27.04;70.11;82.3;35.19;25.12;17.4125;14.5;61.11;49.87;30.7;67.03;18.09;26.52;50.35;58.17;10120.53
22/07/2010;37.0414;43.19;66.6;68;23.27;73.44;33.59;26.64;15.21;146.55;28.22;127.47;21.78;57.02;39.35;27.13;71.4;84.75;35.18;25.84;17.89;14.81;61.37;49.29;31;69.53;18.615;27;50.86;59.38;10322.3
23/07/2010;37.1343;44.79;67.93;69.31;23.35;73.52;34.13;26.93;15.71;147.38;28.25;128.38;21.69;57.63;39.83;27.375;69.9;86.17;34.87;25.81;18.185;14.58;61.91;50.14;30.92;70.9;18.8975;28.02;51.67;59.72;10424.62
26/07/2010;37.04;45.43;68.85;69.99;23.61;74.62;34.4;27.25;16.14;148.2;28.99;128.41;21.71;57.74;40.33;27.47;70.87;87.32;35.27;26.1;18.305;15.02;62.52;50.45;31.47;71.59;19.02;28.28;51.13;60.39;10525.43
27/07/2010;37.7257;44.55;68.62;69.18;23.3;75.3;34.28;27.35;16.18;147.23;28.58;128.63;21.58;58.1;40.69;27.525;70.4;86.8;35.18;26.16;18.42;15.27;63.08;50.58;30.78;71.09;19.1525;28.59;50.96;60.81;10537.69
28/07/2010;37.28;44.58;67.32;69.72;23.39;75.56;34.04;27.08;16.05;147.2;28.08;128.43;21.33;57.83;40.32;27.44;69.77;86.69;34.74;25.95;18.2775;15;62.7;50.29;30.33;71.11;18.795;28.91;51.13;60.91;10497.88
29/07/2010;36.8729;44.56;67.22;69.4;23.21;76.02;33.71;27.27;16.15;152.58;28.05;128.02;21.03;57.83;40.21;27.495;69.38;86.34;35.06;26.03;18.3825;15.09;61.67;50.52;30.44;71.15;17.995;28.88;51.06;60.34;10467.16
30/07/2010;36.75;44.64;68.14;69.75;23.07;76.21;33.69;27.33;16.12;150.82;28.51;128.4;20.6;58.09;40.28;27.555;69.73;85.54;34.46;25.81;18.41;15;61.16;50.45;30.45;71.1;18.3375;29.06;51.19;59.68;10465.94
02/08/2010;37.4071;44.99;69.69;71.05;23.8;77.8;34.48;28.33;16.41;152.74;29.12;130.76;21.15;58.72;41.64;28.205;70.25;87.41;35.07;26.33;18.58;15.48;62.06;50.85;31.44;72.61;18.0575;29.56;51.41;61.94;10674.38
03/08/2010;37.4186;44.6;69.54;70.37;23.82;78.66;34.21;25.5;16.4;153.19;28.45;130.37;20.87;59.35;41.08;28.19;70.45;87.21;34.82;26.16;18.275;16.34;59.94;50.12;32.42;72.03;18.25;29.54;51.29;62.72;10636.38
04/08/2010;37.5686;44.11;69.25;71.12;24.14;79.02;34.83;24.79;16.48;156.41;28.72;131.27;20.73;59.74;41.29;28.275;70.69;88;35.19;25.73;18.5;16.44;59.55;50.68;32.91;72.67;18.1125;29.4;51.6;62.72;10680.43
05/08/2010;37.3857;43.22;68.71;71.96;24.17;79.07;34.98;25.26;16.52;155.92;28.71;131.83;20.67;59.76;41.27;28.185;70.45;87.72;35.07;25.37;18.515;16.19;59.86;50.67;33.42;73.2;17.875;29.55;51.62;62.71;10674.98
06/08/2010;37.1543;43.5;68.7;71.56;24.08;78.73;35;25.44;16.45;155.18;28.68;130.14;20.65;59.96;40.44;28.375;71.74;87.29;34.98;25.55;18.49;16.24;60.02;50.27;33.45;72.73;18.035;29.55;51.79;61.97;10653.56
09/08/2010;37.3929;43.75;68.99;72.07;24.77;79.29;35.16;26;16.38;155.4;28.7;132;20.65;60.05;39.82;28.555;72.92;88.03;35.36;25.61;18.53;16.42;60.38;50.61;33.49;73.35;18.685;29.86;52.06;62.45;10698.75
10/08/2010;37.0586;44.09;68.62;71.42;24.35;79.04;35.29;25.99;16.25;153.9;28.25;131.84;19.84;59.43;39.17;28.49;72.84;87.11;35.77;25.04;18.4775;16.57;60.78;49.4;33.33;73.39;18.8175;30.02;52.22;61.93;10644.25
11/08/2010;35.7243;42.96;65.6;68.71;23.67;77.13;34.22;25.18;15.7;149.25;27.71;129.83;19.41;58.5;37.75;28.02;71.57;84.1;34.89;24.84;18.02;16;60.27;48.96;31.99;71.27;18.3775;29.56;51.02;60.39;10378.83
12/08/2010;35.97;42.15;64.7;67.5;21.45;77.07;33.99;24.98;15.5;149.42;27.61;128.3;19.45;58.52;37.81;27.845;72.06;84.01;35.04;24.51;17.88;16.2;59.99;49.63;32.13;70.58;18.245;30.31;50.43;60.23;10319.95
13/08/2010;35.5857;41.73;64.84;68.01;21.36;77.4;33.68;25.16;15.38;148.08;27.31;127.87;19.15;58.15;37.5;27.865;71.89;84.01;35;24.4;17.645;16.08;59.82;50.14;32.03;70.7;18.055;30.03;50.4;59.91;10303.15
16/08/2010;35.3771;41.54;64.4;68.49;21.91;77.71;33.66;25.18;15.46;147.76;27.38;127.77;19.47;58.01;37.69;27.94;71.79;83.43;34.97;24.5;17.765;16.03;59.77;49.91;31.9;70.35;18.2075;29.96;50.41;59.88;10302.01
17/08/2010;35.9957;41.74;65.99;69.74;22.05;77.77;33.76;25.5;15.58;148.59;28.31;128.45;19.53;59.22;37.48;28.06;73.22;84.09;35.54;24.71;17.9275;16.27;60.29;49.91;32.35;70.51;18.34;30.17;51.02;60.82;10405.85
18/08/2010;36.1529;41.69;66;69.75;22.43;77.04;33.91;25.72;15.7;149.2;28.86;129.41;19.58;59.35;37.89;27.92;73.25;83.61;35.37;24.85;18.06;16.1;60.75;50.08;32.54;69.93;18.22;30.15;50.86;60.15;10415.54
19/08/2010;35.6971;40.96;64.62;69.29;22.22;75.84;33.19;24.91;15.25;147.05;28.22;128.9;18.96;58.72;37.07;27.64;72.97;81.81;34.71;24.45;17.835;16.03;60.19;49.84;31.79;68.51;17.9075;29.62;50.06;59.29;10271.21
20/08/2010;35.6629;40.76;64.6;68.86;22.23;75.05;33.05;24.43;15.03;148.24;28.17;127.5;18.91;58.74;37.14;27.65;73.08;80.66;34.44;24.23;17.815;15.92;59.98;50.09;31.61;68.12;17.525;29.37;50.22;58.89;10213.62
23/08/2010;35.1143;40.2;63.3;66.84;21.68;75.05;32.93;24.04;14.89;146.74;27.83;126.47;18.7;58.87;36.88;27.8;73.34;81.08;34.97;24.28;17.7375;16.1;60.03;49.74;31.5;67.22;17.53;29.41;51.14;59.5;10174.41
24/08/2010;34.3086;39.57;60.93;65.04;21.15;73.78;32.14;23.12;14.57;143.95;27.8;124.9;18.43;58.01;36.21;27.83;72.72;80.45;34.44;24.04;17.5125;15.82;59.66;49.26;31.04;65.66;17.665;29.47;51.3;58.94;10040.45
25/08/2010;34.6986;39.8;60.76;64.7;21.2;74.07;32.11;23.12;14.57;144.68;28.33;125.27;18.48;57.98;36.23;27.695;73.19;80.75;34.54;24.11;17.5325;15.99;59.67;49.52;31.96;65.26;17.715;29.66;51.55;58.91;10060.06
26/08/2010;34.3257;39.73;61.32;63.95;20.7;73.33;31.94;23.74;14.5;141.81;28.38;122.78;18.18;57.8;35.63;27.58;73.16;79.78;34.48;23.82;17.5975;15.9;59.54;49.03;31.85;65.05;17.4775;29.5;50.97;58.48;9985.81
27/08/2010;34.5171;40.91;63.16;65.9;20.81;74.93;32.78;24.72;14.71;139.75;28.74;124.73;18.37;57.6;36.6;28.08;73.99;81;35;23.93;17.735;16.09;59.8;49.87;32.37;66.57;17.7775;29.84;51;59.8;10150.65
30/08/2010;34.6429;39.89;62.1;64.47;20.32;73.78;32.35;24.33;14.52;136.66;27.99;123.4;17.96;57.3;35.85;27.775;72.74;79.65;34.73;23.64;17.59;15.86;59.37;48.95;31.91;65.39;17.385;29.44;50.55;59;10009.73
31/08/2010;34.7671;39.87;61.13;65.16;20.05;74.16;32.59;24.37;14.48;136.94;27.81;123.23;17.72;57.02;36.36;27.96;73.06;78.55;35.16;23.48;17.5;15.93;59.67;48.98;31.72;65.21;17.245;29.51;50.14;59.16;10014.72
01/09/2010;35.7614;41.07;62.29;68.16;20.27;76.77;33.51;25.59;15.01;139.74;28.67;125.77;18.15;58.31;37.71;28.655;74.54;81.01;35.62;23.91;18.0325;16.29;59.8;50.31;32.59;67.37;17.6325;30.26;51.22;60.91;10269.47
02/09/2010;36.0243;40.88;63.39;68.54;20.52;77.45;33.91;25.88;15.15;139.78;29.41;125.04;18.28;58.61;38.16;28.69;75.02;81.87;35.35;23.94;18.24;16.4;60.07;50.22;32.86;67.44;17.995;30.11;51.76;61.06;10320.1
03/09/2010;36.9671;41.8;64.64;70.08;21.05;78;34.67;26.47;15.4;147.29;29.85;127.58;18.43;58.93;39.17;28.78;75.09;83.48;35.59;24.32;18.5625;16.45;60.29;51.03;33.91;68.26;18.125;30.2;52.04;61.32;10447.93
06/09/2010;36.9671;41.8;64.64;70.08;21.05;78;34.67;26.47;15.4;147.29;29.85;127.58;18.43;58.93;39.17;28.78;75.09;83.48;35.59;24.32;18.5625;16.45;60.29;51.03;33.91;68.26;18.125;30.2;52.04;61.32;10447.93
07/09/2010;36.83;40.09;63.42;69.7;20.58;77.05;33.84;25.49;15.44;145.21;29.33;125.95;18.12;58.7;38.28;28.815;75.8;82.14;35.46;23.96;18.505;16.33;60.14;50.13;33.78;67.98;17.875;30.22;51.86;60.55;10340.69
08/09/2010;37.56;40.07;64.5;70.74;20.64;77.25;33.84;25.76;15.69;147.54;29.45;126.08;17.9;58.85;39.12;28.915;76.08;82.75;35.81;23.92;18.535;16.56;60.37;49.86;33.85;68.47;17.1375;30.46;51.83;60.75;10387.01
09/09/2010;37.5814;40.69;63.44;70.64;20.61;77.36;34.08;25.69;15.91;149.14;29.41;126.36;18;59.82;40.1;29.145;74.37;82.96;36.08;24.01;18.48;16.77;60.29;50.27;34.02;68.62;16.695;30.84;51.91;61.05;10415.24
10/09/2010;37.63;40.19;63.84;71.26;20.62;78.82;34.15;25.99;15.98;150.39;29.68;127.99;17.97;59.98;39.76;29.26;75.01;83.94;36.65;23.85;18.4375;16.99;60.4;50.06;34.49;68.89;17.0225;30.82;51.97;61.2;10462.77
13/09/2010;38.1886;41.22;64.19;72.24;21.25;79.25;34.27;26.59;16.25;154.37;29.98;129.61;18.53;60.31;41.15;29.015;74.57;84.86;36.21;25.07;18.67;16.97;60.48;50.44;34.72;68.79;16.37;30.9;52.22;61;10544.13
14/09/2010;38.2943;40.38;62.76;71.83;21.45;79.51;34.05;26.53;16.16;152.53;29.97;128.85;18.74;60.58;40.72;28.795;73.94;84.63;36.52;25.03;18.8175;17.08;60.64;51.02;34.61;68.72;16.78;30.91;52.66;61.01;10526.49
15/09/2010;38.6057;40.85;62.73;72.13;21.59;79.21;34.21;26.17;16.34;152.56;29.94;129.43;18.72;61.05;40.98;28.71;74.71;84.58;36.52;25.09;19.14;17.27;61.11;52.49;34.27;68.27;17.2325;31.19;52.86;61;10572.73
16/09/2010;39.51;40.96;62.58;72;21.92;79.05;34.17;26.41;16.23;152.23;29.95;129.67;18.97;61.29;40.99;28.755;74.8;84.95;36.43;25.33;19.16;17.16;61.11;52.7;34.24;68.53;17.095;31.42;53.15;60.97;10594.83
17/09/2010;39.3514;41.37;62.95;73.17;21.9;78.43;34.52;26.72;16.28;150.98;29.91;130.19;18.83;61.55;40.05;28.785;74.32;86.08;36.33;25.22;19.315;17.06;60.97;52.68;34.14;69.53;17.1225;31.68;53.01;60.78;10607.85
20/09/2010;40.4814;43.12;63.72;74.75;21.75;79.9;34.9;27.17;16.55;151.9;30.65;131.79;18.93;62.09;41.17;28.985;75.11;87.41;36.54;25.44;19.5925;17.27;61.43;53.56;34.93;70.37;17.5775;32.09;53.54;61.58;10753.62
21/09/2010;40.5957;42.78;64.23;76.39;21.66;79.75;34.5;27.25;16.52;151.4;30.9;131.98;19.13;61.94;40.59;29.055;75.51;86.55;36.72;25.16;19.4225;17.15;61.52;52.93;35.26;70.6;17.485;32.32;53.57;61.54;10761.03
22/09/2010;41.1071;42.79;63.9;76.18;21.67;79.25;33.99;27.36;16.5;148.07;30.88;132.57;19.01;61.97;39.94;29.115;75.13;86.63;36.96;24.61;19.3275;17.22;61.79;52.33;35.68;70.58;17.655;32.39;53.82;61.45;10739.31
23/09/2010;41.2743;42.36;62.65;76.26;21.53;78.54;33.12;26.97;16.14;144.91;30.84;131.67;18.98;61.81;39.1;28.935;74.64;85.53;36.66;24.43;19.4175;17.04;61.22;52.4;35.44;69.8;17.745;32.17;53.65;61.15;10662.42
24/09/2010;41.78;43.13;64.6;79.73;22.09;80.12;33.58;28.07;16.66;147.28;31.66;134.15;19.43;62.17;39.77;29.31;75.1;86.96;37.34;24.78;19.8925;17.41;61.64;53.12;35.73;71.5;18.0925;32.64;54.08;61.75;10860.26
27/09/2010;41.5786;43.44;63.89;79.54;22.09;80.08;33.29;27.92;16.43;146;31.6;134.65;19.23;62.03;39.05;29.3;74.76;86.19;37.13;24.72;19.7775;17.17;61.04;52.16;35.35;70.91;18.25;32.86;53.48;61.71;10812.04
28/09/2010;40.98;43.69;64.52;79.67;21.88;80.88;33.22;27.86;16.44;145.01;31.81;134.89;19.5;62.43;38.95;29.55;74.63;87.04;37.25;24.68;20.16;17.41;60.62;52.69;35.04;71.6;18.3175;32.72;53.82;62.06;10858.14
29/09/2010;41.0529;43.01;65.97;79.99;21.87;81.28;33.01;27.39;16.36;144.42;31.81;135.48;19.26;62.31;38.41;29.38;74.45;87.17;37.12;24.5;19.9825;17.4;60.25;51.99;35.2;71.49;18.6025;32.66;53.35;61.59;10835.28
30/09/2010;40.5357;42.03;66.54;78.68;21.9;81.05;33.11;27.46;16.25;144.58;31.68;134.14;19.23;61.96;38.07;29.26;74.51;86.71;36.81;24.49;20.035;17.17;59.97;52.1;35.11;71.23;18.565;32.59;53.52;61.79;10788.05
01/10/2010;40.36;41.78;66.83;78.22;21.91;81.95;33.34;27.88;16.36;147.7;31.82;135.64;19.32;61.75;38.81;29.56;74.92;87.62;36.6;24.38;20.0625;17.18;60.16;52.12;35.43;71.13;18.33;32.89;53.36;62.54;10829.68
04/10/2010;39.8057;39.05;66.33;77.27;21.76;81.31;33.14;27.47;16.1;146.57;31.67;135.25;18.87;61.67;38.95;29.44;74.95;86.7;36.52;23.91;19.97;16.9;59.96;52.12;34.54;70.53;18.31;33.03;53.57;62.19;10751.27
05/10/2010;41.3443;38.29;68.6;79.4;22.03;83.39;33.86;28.47;16.51;149.57;31.75;137.66;19.17;62.84;39.61;29.83;75.82;88.86;37.02;24.39;20.325;17.24;60.82;52.87;35.07;72.51;18.7475;33.57;54.02;63.26;10944.72
06/10/2010;41.3129;38.02;68.58;79.08;22.3;83.89;33.72;28.95;16.9;150.84;31.74;137.84;19.31;63.21;39.9;29.9;75.56;89.89;37.01;24.43;20.3275;17.26;60.87;52.82;33.95;72.87;18.5575;33.36;54.56;63.94;10967.65
07/10/2010;41.3171;37.82;68.46;78.74;22.39;83.52;33.91;29.15;17.05;151.11;31.74;138.72;19.4;63.22;39.52;29.72;75.86;88.9;36.71;24.53;20.2475;17.38;60.8;52.61;34.34;72.78;18.4025;32.93;54.36;63.85;10948.58
08/10/2010;42.0157;37.99;69.23;80.37;22.48;83.94;34.51;30.03;17.12;152.66;31.89;138.85;19.52;63.23;39.31;29.705;76.1;89.16;36.91;24.57;20.51;17.46;61.86;52.81;34.35;72.91;18.5;32.83;54.41;64.38;11006.48
11/10/2010;42.1943;37.94;69.99;79.98;22.47;83.71;34.57;29.85;16.96;152.2;31.79;139.66;19.56;63.3;39.73;29.78;75.59;88.25;36.86;24.59;20.495;17.38;62.14;52.95;34.65;72.93;18.5725;32.99;54.61;64.55;11010.34
12/10/2010;42.6771;38.54;70.22;79.34;22.61;83.84;34.48;29.81;17.19;155.21;31.43;139.85;19.76;63.29;40.42;29.8;75.58;88.15;36.64;24.83;20.4725;17.47;62.02;52.82;35.02;72.98;18.5625;32.54;53.92;64.7;11020.4
13/10/2010;42.8771;39.26;71.47;80.29;23.18;83.67;34.91;29.82;17.28;154.73;31;140.37;19.24;63.58;39.84;29.97;75.75;89.14;37.16;25.31;20.505;17.73;62.63;53.41;35.32;74.18;19.235;32.21;53.82;65.04;11096.08
14/10/2010;43.1871;39.44;71.36;79.91;23.08;83.9;34.85;29.31;17.17;151.59;30.81;141.5;19.32;63.74;38.72;29.955;77.04;89.07;37.15;25.23;20.4425;17.67;62.8;53.46;35.78;74.15;19.2925;32.44;53.25;65.3;11094.57
15/10/2010;45;39.09;70.11;79.75;23.37;83.61;34.88;29.43;16.3;150.69;30.7;141.06;19.32;63.57;37.15;29.97;77.48;89.14;36.95;25.54;20.5;17.74;62.76;53.63;35.98;74.1;19.4;32.43;53.35;65.19;11062.78
18/10/2010;45.4143;39.55;70.23;80.24;23.32;84.48;34.75;29.84;16.25;153.7;30.53;142.83;19.2;63.86;38.22;30;77.32;89.66;37.23;25.82;20.415;17.79;63.35;54.4;36.25;74.56;19.59;32.59;53.76;66.28;11143.69
19/10/2010;44.2143;39.3;69.05;78.55;22.97;82.79;34.24;29.34;16.07;156.72;30.41;138.03;19.22;63.29;37.69;30.17;76.99;88.57;36.52;25.09;20.1825;17.39;63.18;53.76;35.3;73.61;19.3875;32.16;53.32;65.12;10978.62
20/10/2010;44.3614;39.73;71.36;80.32;23.4;84.02;34.62;30.19;16.05;159.6;30.73;139.07;19.64;63.6;38.1;30.575;77.41;89.47;36.99;25.31;20.31;17.66;63.37;54.64;36.73;73.92;19.88;32.64;53.47;66.01;11107.97
21/10/2010;44.2171;40.27;71.5;78.89;23.27;84.25;34.68;30.52;16.1;159.3;31.81;139.83;19.77;63.99;37.7;30.735;78.44;90.55;37.1;25.4;20.5275;17.62;63.51;54.98;36.49;74.97;19.8;32.52;54.02;66.32;11146.57
22/10/2010;43.9814;39.03;71.26;78.33;23.49;84.55;34.97;30.2;16.07;157.76;31.48;139.75;19.84;63.81;37.73;30.805;78.55;90.44;37.1;25.39;20.48;17.51;63.4;55.1;37.26;74.94;19.8225;32.09;54.09;66.34;11132.56
25/10/2010;44.12;39.3;71.66;79.05;23.61;84.87;35.46;31.56;16.06;157.39;31.4;139.84;19.87;63.98;37.07;30.505;78.7;90.9;37.42;25.19;20.5125;17.62;63.54;55.59;37.56;75.01;20.1575;32.35;53.95;66.2;11164.05
26/10/2010;44.0071;40.1;71.3;78.65;23.395;85.15;35.96;31.5;16.16;158.29;31.29;140.67;20.04;63.84;37.2;30.62;78.76;90.47;37.07;25.9;20.455;17.49;62.86;55.03;37.57;74.67;20.0075;32.5;54.56;66.53;11169.46
27/10/2010;43.9757;40.68;70.86;78.22;23.29;84.31;35.92;31.21;16.11;160.15;30.9;141.43;20.19;63.57;37.54;30.595;77.48;90.37;36.46;26.05;20.2575;17.28;63.08;54.73;35.93;74.46;19.98;32.51;53.87;65.67;11126.28
28/10/2010;43.6057;41.22;71.27;77.74;23.19;84.44;36.51;30.86;16.08;163.24;31.19;140.9;20.47;63.56;37.51;30.605;77.48;85.07;36.94;26.28;20.2775;17.57;63.19;54.74;36.25;74.7;19.1125;32.41;54.08;66.22;11113.95
29/10/2010;42.9814;41.46;70.64;78.6;22.83;82.61;36.11;30.83;16.02;160.95;30.88;143.6;20.07;63.67;37.63;30.66;77.77;84.22;36.28;26.64;20.36;17.4;63.57;55.2;36.05;74.77;19.5425;32.47;54.17;66.47;11118.49
01/11/2010;43.4543;41.56;70.48;79.27;22.92;81.45;36.03;30.89;15.95;161.57;30.71;143.32;20.57;63.69;37.42;30.855;77.88;83.98;36.25;26.95;20.275;17.62;63.62;55.77;36.11;74.64;19.33;32.4;54.31;66.95;11124.62
02/11/2010;44.2371;42.39;69.78;79.75;23.19;82.15;36.11;31.39;15.94;162.82;31.51;143.84;20.37;63.88;36.96;30.93;78.4;84.8;36.61;27.4;20.4375;17.46;64.02;55.52;37;75.25;19.605;32.8;54.79;67.84;11188.72
03/11/2010;44.6857;42.07;68.94;79.88;23.71;82.7;36.29;31.56;16.06;162.63;31.46;144.17;20.48;64.19;37.72;30.975;78.5;85.3;36.51;27.03;20.4575;17.59;64.31;55.91;36.66;75.05;19.75;32.99;54.91;67.97;11215.13
04/11/2010;45.4671;43.73;70.85;83.18;24.21;85.14;37.03;32.77;16.51;166.39;31.94;146.79;20.97;64.76;39.8;31.225;79.18;87.04;36.65;27.14;20.8525;17.38;65;57.24;36.8;76.24;19.9975;33.52;55.36;69.38;11434.84
05/11/2010;45.3043;44.07;71.27;83.54;24.26;84.98;37.2;32.5;16.73;171.07;31.92;146.92;21.24;64.65;40.94;31.29;79.3;86.34;35.7;26.85;21.0275;17.18;65;57.44;36.86;76.75;19.95;33.43;55.2;70;11444.08
08/11/2010;45.5443;43.9;70.21;83.12;24.41;84.8;37.06;32.35;16.71;169.2;31.49;146.46;21.22;64.33;40.51;31.23;79.31;85.86;35.62;26.81;20.9025;17.06;64.75;56.58;37.12;76.63;19.6775;33.17;54.91;70.32;11406.84
09/11/2010;45.1543;43.36;69.25;81.91;24.35;83.56;36.86;31.81;16.62;166.55;31.47;146.14;21.16;64.31;39.9;31.32;79.1;85.3;35.05;26.95;20.8;16.99;64.81;56.58;36.98;76.69;19.58;33.01;55.05;70.63;11346.75
10/11/2010;45.4329;43.56;67.07;82.46;24.51;85.17;36.99;31.69;16.55;167.22;31.68;146.55;21.03;63.95;40.63;31.275;79.5;86.25;34.98;26.95;20.97;16.84;64.57;56.76;37.16;76.15;19.8225;32.85;54.51;71.16;11357.04
11/11/2010;45.2157;43.35;65.37;82.44;20.58;86.09;35.86;31.81;16.35;167.71;31.7;145.43;21.21;63.9;40.02;31.4;79.7;86.5;35.18;26.7;20.9175;16.98;64.36;56.41;37.47;75.39;19.805;32.63;54.34;71.83;11283.1
12/11/2010;44.0043;42.7;63.09;81.04;20.15;85.44;37.75;31.3;16.25;165.83;31.44;143.74;21.53;63.67;39.61;31.46;78.85;86.24;34.71;26.27;20.655;16.85;64.33;56.31;36.67;74.88;19.235;32.56;54.13;70.99;11192.58
15/11/2010;43.9157;42.7;63.61;81.82;19.97;84.86;37.25;31.16;16.2;167.22;31.41;143.64;21.3;64.13;40.12;31.48;79.07;86.2;34.54;26.24;20.45;16.76;64.29;56.78;35.47;75.31;19.09;32.77;53.95;70.48;11201.97
16/11/2010;43.0414;41.93;62.78;80.37;19.43;82.48;36.92;30.56;15.86;165.1;31.71;142.24;21.07;63.14;39.61;31.04;77.42;84.24;34.1;25.79;20.1275;16.6;63.45;54.73;35.01;74.16;18.7475;32.19;54.26;68.94;11023.5
17/11/2010;42.9286;41.41;62.5;81.17;19.405;82.46;37.22;30.56;15.81;164.89;30.83;141.95;21.07;63.06;39.18;31.26;78.37;83.95;34.47;25.57;20.3475;16.48;63.27;55.37;35.33;73.64;18.9325;32.34;53.77;69.01;11007.88
18/11/2010;44.08;42.25;64.61;83.11;19.61;83.82;37.58;31.36;16.04;167.35;30.87;144.36;21.03;63.83;39.66;31.92;79.02;85.55;35.29;25.83;20.6175;16.83;64.02;55.79;35.63;75.03;19.235;32.65;53.98;70.31;11181.23
19/11/2010;43.8429;42.75;63.59;83.97;19.62;83.94;37.01;31.71;16.22;166.67;31.22;145.05;21.14;63.83;39.42;32.16;79.64;85.01;35.33;25.7;21.4525;16.8;64.05;55.49;36;75.31;19.2625;32.59;54.4;70.54;11203.55
22/11/2010;44.7657;42.22;64.03;84;19.56;83.45;36.95;31.5;16.03;161.05;31.09;145.39;21.27;63.62;38.51;32.135;79.52;84.9;35.59;25.74;21.48;16.63;63.56;55.03;36.46;75.11;18.865;32.5;54.38;70.19;11178.58
23/11/2010;44.1043;41.95;63.6;82.63;19.2;81.75;36.12;30.82;15.76;157.78;30.91;143.18;21.07;62.87;37.63;31.81;79.01;83.59;34.81;25.11;21.315;16.57;62.61;54.3;36.05;74.18;18.6625;32.39;53.67;68.98;11036.37
24/11/2010;44.9886;43;65.41;84.69;19.45;82.93;36.87;31.67;15.94;160.26;31.16;145.81;21.38;63.29;38.16;32.305;79.48;84.66;35.15;25.38;21.6325;16.69;62.6;55.11;36.18;76.09;18.955;32.35;54.01;69.88;11187.28
